date,name,value
2014-9-30,Perl,21352
2014-9-30,Clojure,20554
2014-9-30,TypeScript,19713
2014-9-30,Lua,17263
2014-9-30,Swift,14043
2014-9-30,Groovy,12934
2014-9-30,Rust,12103
2014-9-30,R,11830
2014-9-30,TeX,9584
2014-9-30,Emacs Lisp,9485
2014-9-30,Jupyter Notebook,7659
2014-9-30,Erlang,7342
2014-9-30,Puppet,6145
2014-9-30,Makefile,6019
2014-9-30,Dart,5704
2014-9-30,Kotlin,5271
2014-9-30,Vim script,5104
2014-9-30,OCaml,4864
2014-9-30,Matlab,4742
2014-9-30,VimL,4189
2014-9-30,Julia,4183
2014-9-30,Elixir,4072
2014-9-30,PowerShell,3783
2014-9-30,XSLT,3595
2014-9-30,Arduino,3593
2014-9-30,F#,3450
2014-9-30,D,3098
2014-9-30,SCSS,2821
2014-9-30,Common Lisp,2820
2014-9-30,Haxe,2673
2014-9-30,Nix,2648
2014-9-30,ActionScript,2625
2014-9-30,Assembly,2619
2014-9-30,Vim Script,2101
2014-9-30,Scheme,2051
2014-9-30,Pascal,1785
2014-9-30,Visual Basic,1764
2014-9-30,Fortran,1617
2014-9-30,PLpgSQL,1605
2014-9-30,Vala,1473
